Date,Open,High,Low,Close,Volume,OpenInt
2004-08-19,50,52.03,47.98,50.17,44703800,0
2004-08-20,50.505,54.54,50.25,54.155,22857200,0
2004-08-23,55.375,56.74,54.525,54.7,18274400,0
2004-08-24,55.62,55.8,51.785,52.435,15262600,0
